Order_ID,Product_ID,Warehouse_Block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Shipment_Distance,Gender,Discount_Offered,On_time_delivery,Seller_Name
42,155595,F,Ship,5,5,139,medium,M,61,1,Rani Enterprises
43,156053,D,Ship,3,5,137,medium,M,38,1,Rani Enterprises
44,155763,F,Ship,3,1,174,low,M,44,1,Rani Enterprises
45,155906,A,Ship,3,1,151,low,M,29,1,Rani Enterprises
46,156030,B,Ship,5,1,210,low,F,9,1,Rani Enterprises
47,155696,C,Ship,3,4,169,medium,F,32,1,Rani Enterprises
48,155734,F,Ship,5,1,160,low,M,32,1,Rani Enterprises
49,155820,D,Ship,5,4,190,medium,M,9,1,Rani Enterprises
50,155802,F,Ship,5,3,216,low,F,40,1,Rani Enterprises
51,155467,A,Ship,4,1,183,low,M,37,1,Rani Enterprises
52,156152,B,Ship,4,4,141,low,M,22,1,Rani Enterprises
53,155424,C,Ship,4,3,165,low,F,44,1,Rani Enterprises
54,155896,F,Ship,2,1,170,low,M,41,1,Rani Enterprises
55,155832,D,Ship,4,3,203,high,M,12,1,Rani Enterprises
56,156015,F,Ship,2,5,246,low,M,46,1,Rani Enterprises
57,155439,A,Ship,3,3,238,low,F,61,1,Rani Enterprises
58,155449,B,Ship,3,3,193,medium,F,29,1,Rani Enterprises
59,155679,C,Ship,5,5,141,high,M,41,1,Rani Enterprises
60,155484,F,Ship,4,1,150,high,F,17,1,Rani Enterprises
61,155792,D,Ship,3,1,221,low,F,64,1,Rani Enterprises
62,156222,F,Ship,3,3,179,medium,M,52,1,Rani Enterprises
63,155397,A,Ship,5,1,105,medium,M,62,1,Rani Enterprises
64,155501,B,Ship,3,1,177,medium,M,61,1,Rani Enterprises
65,155394,C,Ship,4,5,261,high,M,49,1,Rani Enterprises
66,155787,F,Ship,3,2,202,low,M,49,1,Rani Enterprises
67,155541,D,Ship,3,2,109,medium,F,15,1,Rani Enterprises
68,155750,F,Ship,3,3,158,low,F,6,1,Rani Enterprises
69,155758,A,Ship,4,2,231,medium,F,6,1,Rani Enterprises
70,155845,B,Ship,3,5,206,medium,M,39,1,Rani Enterprises
71,155594,C,Ship,5,1,187,high,M,14,1,Rani Enterprises
72,155770,F,Ship,5,5,230,low,F,2,1,Rani Enterprises
73,155988,D,Ship,5,5,232,medium,F,33,1,Rani Enterprises
74,156283,F,Ship,4,5,215,medium,F,21,1,Rani Enterprises
75,155945,A,Ship,6,1,238,low,F,13,1,Rani Enterprises
76,155983,B,Ship,4,1,266,low,F,23,1,Rani Enterprises
77,156013,C,Ship,2,3,158,medium,F,36,1,Rani Enterprises
78,155885,F,Ship,3,3,113,low,F,43,1,Rani Enterprises
79,155365,D,Ship,3,4,223,low,M,18,1,Rani Enterprises
80,155446,F,Ship,3,5,257,medium,F,56,1,Rani Enterprises
81,155542,A,Ship,3,4,180,medium,F,49,1,Rani Enterprises
82,155457,B,Ship,2,5,132,low,M,18,1,Rani Enterprises
83,156213,C,Ship,4,4,217,high,F,26,1,Rani Enterprises
84,156187,F,Ship,5,5,162,high,F,31,1,Rani Enterprises
85,156073,D,Ship,4,5,197,medium,F,40,1,Rani Enterprises
86,156145,F,Ship,3,4,197,medium,M,13,1,Rani Enterprises
87,155581,A,Ship,4,1,185,low,M,44,1,Rani Enterprises
88,156225,B,Ship,6,2,278,medium,F,3,1,Rani Enterprises
89,156227,C,Ship,3,3,229,low,M,49,1,Rani Enterprises
90,156258,F,Ship,4,1,186,medium,F,57,1,Rani Enterprises
91,155955,D,Ship,5,3,174,high,F,41,1,Rani Enterprises
92,155569,F,Ship,5,5,286,low,F,18,1,Rani Enterprises
93,156021,A,Ship,4,4,175,medium,F,7,1,Rani Enterprises
94,155568,B,Ship,3,3,219,medium,F,17,1,Rani Enterprises
95,155506,C,Ship,4,1,213,high,F,35,1,Rani Enterprises
96,155648,F,Ship,2,3,235,low,M,57,1,Rani Enterprises
97,155803,D,Ship,3,3,149,medium,M,18,1,Rani Enterprises
98,155875,F,Ship,4,1,271,medium,F,8,1,Rani Enterprises
99,155740,A,Ship,3,5,144,medium,M,5,1,Rani Enterprises
100,155609,B,Ship,4,2,145,medium,M,21,1,Rani Enterprises
101,155859,C,Ship,5,3,143,medium,M,59,1,Rani Enterprises
102,155419,F,Ship,5,5,227,low,M,53,1,Rani Enterprises
103,155867,D,Ship,2,1,213,low,M,29,1,Rani Enterprises
104,156177,F,Ship,5,1,144,low,M,37,1,Rani Enterprises
105,156094,A,Ship,3,3,218,low,M,3,1,Rani Enterprises
106,156246,B,Ship,4,2,144,medium,M,59,1,Rani Enterprises
107,155802,C,Ship,3,1,238,low,M,17,1,Rani Enterprises
108,155814,F,Ship,4,5,216,high,M,26,1,Rani Enterprises
109,156194,D,Ship,4,5,238,high,F,55,1,Rani Enterprises
110,155467,F,Ship,4,1,141,medium,M,47,1,Rani Enterprises
111,156179,A,Road,3,1,158,low,M,2,1,Rani Enterprises
112,155893,B,Road,4,2,239,low,F,65,1,Rani Enterprises
113,156184,C,Road,4,3,175,low,M,25,1,Rani Enterprises
114,156079,F,Road,3,2,263,low,M,41,1,Rani Enterprises
115,155926,D,Road,3,5,168,high,M,50,1,Rani Enterprises
116,155587,F,Road,3,4,176,high,M,36,1,Rani Enterprises
117,156270,A,Road,4,1,150,high,M,60,1,Rani Enterprises
118,155955,B,Road,4,3,265,medium,F,31,1,Rani Enterprises
119,155896,C,Road,,5,263,low,F,5,1,Rani Enterprises
120,155675,F,Road,5,1,145,low,M,20,1,Rani Enterprises
121,155610,D,Road,4,2,183,low,F,33,1,Rani Enterprises
122,155728,F,Road,3,3,205,medium,F,19,1,Rani Enterprises
123,156081,A,Road,4,2,160,low,M,64,1,Rani Enterprises
124,156351,B,Road,3,3,252,medium,F,48,1,Rani Enterprises
125,156138,C,Road,5,5,222,low,M,10,1,Rani Enterprises
126,156058,F,Road,3,3,203,low,M,25,1,Rani Enterprises
127,155773,D,Road,4,5,220,medium,M,40,1,Rani Enterprises
128,156286,F,Road,3,3,147,low,F,60,1,Rani Enterprises
129,156359,A,Road,4,4,200,medium,M,16,1,Rani Enterprises
130,155444,B,Road,4,5,224,medium,M,21,1,Rani Enterprises
131,155683,C,Road,3,5,179,low,F,17,1,Rani Enterprises
132,156173,F,Road,3,4,144,low,M,50,1,Rani Enterprises
133,155555,D,Flight,5,2,247,low,M,17,1,Rani Enterprises
134,156163,F,Flight,5,4,280,medium,F,51,1,Rani Enterprises
135,155658,A,Flight,3,3,168,medium,F,1,1,Rani Enterprises
136,155962,B,Flight,3,5,157,medium,F,4,1,Rani Enterprises
137,155707,C,Flight,3,3,189,medium,F,51,1,Rani Enterprises
138,156063,F,Flight,3,5,162,medium,M,7,1,Rani Enterprises
139,156246,D,Flight,4,1,207,low,M,48,1,Rani Enterprises
140,155702,F,Flight,5,1,237,low,F,10,1,Rani Enterprises
141,155744,A,Flight,4,4,264,high,M,59,1,Rani Enterprises
142,155711,B,Flight,5,4,149,low,M,51,1,Rani Enterprises
143,156143,C,Flight,5,5,162,low,M,41,1,Rani Enterprises
144,155706,F,Flight,2,,205,medium,F,63,1,Rani Enterprises
145,155720,D,Flight,2,1,158,medium,F,51,1,Rani Enterprises
146,155459,F,Flight,2,2,248,low,M,46,1,Rani Enterprises
147,155928,A,Flight,3,5,191,low,M,23,1,Rani Enterprises
148,155580,B,Flight,4,3,146,medium,F,24,1,Rani Enterprises
149,156163,C,Flight,3,3,135,low,M,56,1,Rani Enterprises
150,155937,F,Flight,5,1,149,low,M,40,1,Rani Enterprises
151,155766,D,Flight,4,4,220,medium,F,7,1,Rani Enterprises
152,156132,F,Flight,5,3,98,medium,M,44,1,Rani Enterprises
153,156121,A,Flight,3,4,97,low,M,32,1,Rani Enterprises
154,156075,B,Flight,3,3,183,low,M,53,1,Rani Enterprises
155,156130,C,Ship,3,3,162,medium,F,8,1,Rani Enterprises
156,155859,F,Ship,5,1,114,low,F,47,1,Rani Enterprises
157,155666,D,Ship,6,3,275,low,M,41,1,Rani Enterprises
158,155920,F,Ship,3,2,203,medium,F,39,1,Rani Enterprises
159,155476,A,Ship,5,5,205,high,M,65,1,Rani Enterprises
160,155888,B,Ship,3,3,149,low,F,63,1,Rani Enterprises
161,155916,C,Ship,2,2,112,medium,M,56,1,Rani Enterprises
162,155977,F,Ship,3,1,207,medium,F,56,1,Rani Enterprises
163,156318,D,Ship,4,1,261,low,F,58,1,Rani Enterprises
164,155464,F,Ship,5,2,274,medium,M,6,1,Rani Enterprises
165,155867,A,Ship,3,5,141,low,M,52,1,Rani Enterprises
166,156196,B,Ship,3,3,166,medium,F,17,1,Rani Enterprises
167,155767,C,Ship,5,2,141,high,F,34,1,Rani Enterprises
168,155863,F,Ship,4,5,152,low,M,43,1,Rani Enterprises
169,155360,D,Ship,4,2,250,low,F,53,1,Rani Enterprises
170,155920,F,Ship,4,3,161,medium,F,28,1,Rani Enterprises
171,156313,A,Ship,4,3,185,medium,F,10,1,Rani Enterprises
172,155969,B,Ship,4,4,176,high,F,52,1,Rani Enterprises
173,156263,C,Ship,3,4,148,low,M,56,1,Rani Enterprises
174,155430,F,Ship,3,2,270,low,F,63,1,Rani Enterprises
175,155564,D,Ship,3,3,242,low,F,51,1,Rani Enterprises
176,155810,F,Ship,4,4,150,medium,M,3,1,Rani Enterprises
177,155412,A,Ship,4,5,192,high,M,20,1,Rani Enterprises
178,156106,B,Ship,4,5,116,medium,M,54,1,Rani Enterprises
179,155569,C,Ship,3,3,192,medium,F,2,1,Rani Enterprises
180,156198,F,Ship,5,5,255,medium,M,3,1,Rani Enterprises
181,156028,D,Ship,4,1,161,medium,F,18,1,Rani Enterprises
182,155927,F,Ship,4,5,157,low,M,20,1,Rani Enterprises
183,156177,A,Ship,3,2,164,high,F,28,1,Rani Enterprises
184,155744,B,Ship,3,5,162,medium,F,16,1,Rani Enterprises
185,156204,C,Ship,3,3,146,low,M,50,1,Rani Enterprises
186,155432,F,Ship,3,2,209,medium,M,54,1,Rani Enterprises
187,156077,D,Ship,5,4,134,medium,F,55,1,Rani Enterprises
188,155546,F,Ship,2,1,222,medium,M,5,1,Rani Enterprises
189,155774,A,Ship,2,5,139,low,F,27,1,Rani Enterprises
190,155779,B,Ship,2,4,134,low,F,42,1,Rani Enterprises
191,155508,C,Ship,2,5,130,low,M,16,1,Rani Enterprises
192,156092,F,Ship,2,5,133,low,F,62,1,Rani Enterprises
193,155839,D,Ship,2,4,140,low,F,7,1,Rani Enterprises
194,156303,F,Ship,2,2,158,low,M,28,1,Rani Enterprises
195,155921,A,Ship,4,2,270,low,F,46,1,Rani Enterprises
196,156057,B,Ship,2,5,140,low,F,30,1,Rani Enterprises
197,156160,C,Ship,2,2,135,low,M,15,1,Rani Enterprises
198,155506,F,Ship,2,3,136,low,F,19,1,Rani Enterprises
199,156272,D,Ship,2,3,142,medium,F,38,1,Rani Enterprises
200,156221,F,Ship,2,2,154,medium,M,38,1,Rani Enterprises
201,155545,A,Ship,2,3,139,low,M,9,1,Rani Enterprises
202,155367,B,Ship,2,3,160,low,F,43,1,Rani Enterprises
203,155373,C,Ship,2,4,134,low,M,58,1,Rani Enterprises
204,156038,F,Ship,5,3,161,high,M,48,1,Rani Enterprises
205,155564,D,Ship,2,5,155,low,M,23,1,Rani Enterprises
206,155609,F,Ship,2,3,145,medium,F,24,1,Rani Enterprises
207,156098,A,Ship,2,2,157,low,M,1,1,Rani Enterprises
208,155530,B,Ship,2,2,160,low,M,48,1,Rani Enterprises
209,156132,C,Ship,2,4,152,low,M,55,1,Rani Enterprises
210,155661,F,Ship,2,5,148,high,F,11,1,Rani Enterprises
211,156027,D,Ship,2,1,127,low,F,15,1,Rani Enterprises
212,155526,F,Ship,2,5,154,low,F,21,1,Rani Enterprises
213,155521,A,Ship,2,5,127,low,M,44,1,Rani Enterprises
214,155941,B,Ship,2,5,160,medium,F,31,1,Rani Enterprises
215,155492,C,Ship,2,4,129,low,F,48,1,Rani Enterprises
216,156107,F,Ship,2,5,158,low,F,40,1,Rani Enterprises
217,156218,D,Ship,4,3,185,medium,M,3,1,Rani Enterprises
218,156264,F,Ship,4,4,176,high,F,63,1,Rani Enterprises
219,156152,A,Ship,3,4,148,low,M,37,1,Rani Enterprises
220,156339,B,Ship,3,5,270,low,M,60,1,Rani Enterprises
221,156097,C,Ship,3,4,242,low,M,29,1,Rani Enterprises
222,155639,F,Ship,4,3,150,medium,M,31,1,Rani Enterprises
223,156247,D,Ship,4,2,192,high,M,4,1,Rani Enterprises
224,156237,F,Ship,4,5,116,medium,F,9,1,Rani Enterprises
225,155744,A,Ship,3,4,192,medium,F,31,1,Rani Enterprises
226,155488,B,Ship,5,4,255,medium,F,38,1,Rani Enterprises
227,156321,C,Ship,4,3,161,medium,M,63,1,Rani Enterprises
228,155948,F,Ship,4,2,157,low,F,48,1,Rani Enterprises
229,156083,D,Ship,3,2,164,high,M,14,1,Rani Enterprises
230,156260,F,Ship,3,3,162,medium,F,42,1,Rani Enterprises
231,155754,A,Ship,3,1,146,low,F,54,1,Rani Enterprises
232,155847,B,Ship,3,4,209,medium,F,60,1,Rani Enterprises
233,155727,C,Ship,5,5,134,medium,M,53,1,Rani Enterprises
234,156189,F,Ship,2,1,222,medium,M,58,1,Rani Enterprises
235,156236,D,Ship,2,1,139,low,F,39,1,Rani Enterprises
236,155505,F,Ship,2,2,134,low,M,38,1,Rani Enterprises
237,156246,A,Ship,2,3,130,low,F,48,1,Rani Enterprises
238,156255,B,Ship,2,2,133,low,M,5,1,Rani Enterprises
239,156014,C,Ship,2,3,140,low,F,23,1,Rani Enterprises
240,156193,F,Ship,2,3,158,low,M,10,1,Rani Enterprises
241,155949,D,Ship,4,5,270,low,M,65,1,Rani Enterprises
242,155684,F,Ship,2,4,140,low,F,33,1,Rani Enterprises
243,156027,A,Ship,2,2,135,low,M,58,1,Rani Enterprises
244,155989,B,Ship,2,4,136,low,M,43,1,Rani Enterprises
245,156161,C,Ship,2,1,142,medium,F,8,1,Rani Enterprises
246,155809,F,Ship,2,4,154,medium,F,48,1,Rani Enterprises
247,155947,D,Ship,2,3,139,low,F,3,1,Rani Enterprises
248,155980,F,Road,2,4,160,low,F,50,1,Rani Enterprises
249,155752,A,Road,2,2,134,low,F,38,1,Rani Enterprises
250,156296,B,Road,5,5,161,high,F,54,1,Rani Enterprises
251,155933,C,Road,2,3,155,low,F,45,1,Rani Enterprises
252,156081,F,Road,2,2,145,medium,F,5,1,Rani Enterprises
253,155694,D,Road,2,1,157,low,M,58,1,Rani Enterprises
254,156335,F,Road,2,5,160,low,F,19,1,Rani Enterprises
255,155625,A,Road,2,2,152,low,F,61,1,Rani Enterprises
256,156284,B,Road,2,2,148,high,F,35,1,Rani Enterprises
257,155655,C,Road,2,2,127,low,M,13,1,Rani Enterprises
258,155687,F,Road,2,2,129,medium,F,22,1,Rani Enterprises
259,156344,D,Road,2,3,158,low,F,13,1,Rani Enterprises
260,155864,F,Road,2,4,147,low,M,5,1,Rani Enterprises
261,156111,A,Road,2,5,159,low,F,49,1,Rani Enterprises
262,155904,B,Road,2,3,151,low,F,23,1,Rani Enterprises
263,155769,C,Road,3,1,294,low,F,52,1,Rani Enterprises
264,156129,F,Road,3,2,226,medium,M,45,1,Rani Enterprises
265,156295,D,Road,5,3,271,high,M,9,1,Rani Enterprises
266,155523,F,Road,7,2,203,medium,F,61,1,Rani Enterprises
267,155904,A,Road,2,3,264,low,F,10,1,Rani Enterprises
268,155596,B,Road,4,1,258,medium,M,36,1,Rani Enterprises
269,156338,C,Road,3,5,241,low,F,21,1,Rani Enterprises
270,155514,F,Flight,4,5,208,medium,M,23,1,Rani Enterprises
271,155920,D,Flight,3,2,209,medium,F,12,1,Rani Enterprises
272,155505,F,Flight,5,1,182,medium,F,23,1,Rani Enterprises
273,156234,A,Flight,4,5,148,medium,F,43,1,Rani Enterprises
274,156190,B,Flight,2,3,183,medium,F,52,1,Rani Enterprises
275,155886,C,Flight,3,5,229,medium,M,22,1,Rani Enterprises
276,155780,F,Flight,5,5,115,low,F,26,1,Rani Enterprises
277,155913,D,Flight,4,2,136,low,F,65,1,Rani Enterprises
278,155517,F,Flight,4,4,212,low,M,21,1,Rani Enterprises
279,156221,A,Flight,4,3,171,low,F,24,1,Rani Enterprises
280,155975,B,Flight,3,1,151,low,M,60,1,Rani Enterprises
281,155491,C,Flight,3,1,205,medium,M,39,1,Rani Enterprises
282,155631,F,Flight,5,4,147,medium,M,23,1,Rani Enterprises
283,156321,D,Flight,3,3,155,low,F,29,1,Rani Enterprises
284,155537,F,Flight,5,4,165,low,F,20,1,Rani Enterprises
285,155860,A,Flight,5,5,230,low,F,32,1,Rani Enterprises
286,155822,B,Flight,2,4,181,medium,M,13,1,Rani Enterprises
287,155560,C,Flight,5,3,234,low,F,55,1,Rani Enterprises
288,155479,F,Flight,4,4,149,low,M,34,1,Rani Enterprises
289,156241,D,Flight,5,5,156,low,M,44,1,Rani Enterprises
290,155659,F,Flight,4,2,172,medium,F,59,1,Rani Enterprises
291,155783,A,Flight,4,4,270,low,M,12,1,Rani Enterprises
292,155700,B,Ship,4,1,206,medium,M,23,1,Rani Enterprises
293,155827,C,Ship,4,3,211,medium,M,40,1,Rani Enterprises
294,155853,F,Ship,3,2,136,low,M,62,1,Rani Enterprises
295,155895,D,Ship,5,1,186,high,F,52,1,Rani Enterprises
296,155777,F,Ship,3,1,202,medium,M,62,1,Rani Enterprises
297,155659,A,Ship,4,2,183,medium,F,12,1,Rani Enterprises
298,155486,B,Ship,4,4,232,low,M,36,1,Rani Enterprises
299,155578,C,Ship,4,2,147,medium,M,52,1,Rani Enterprises
300,155655,F,Ship,4,3,136,medium,M,20,1,Rani Enterprises
301,155696,D,Ship,5,3,127,low,F,43,1,Rani Enterprises
302,155879,F,Ship,4,5,202,medium,M,35,1,Rani Enterprises
303,156336,A,Ship,3,4,241,low,M,57,1,Rani Enterprises
304,155653,B,Ship,4,3,222,medium,M,55,1,Rani Enterprises
305,156001,C,Ship,3,2,183,medium,F,12,1,Rani Enterprises
306,155423,F,Ship,4,4,249,medium,F,36,1,Rani Enterprises
307,156057,D,Ship,3,1,243,high,M,59,1,Rani Enterprises
308,156059,F,Ship,3,3,163,medium,M,9,1,Rani Enterprises
309,155899,A,Ship,4,2,165,high,M,11,1,Rani Enterprises
310,156149,B,Ship,5,5,266,medium,F,53,1,Rani Enterprises
311,155459,C,Ship,3,4,193,medium,M,48,1,Rani Enterprises
312,155629,F,Ship,3,2,154,low,F,56,1,Rani Enterprises
313,155923,D,Ship,3,3,140,medium,M,51,1,Rani Enterprises
314,155547,F,Ship,4,3,272,medium,M,38,1,Rani Enterprises
315,155696,A,Ship,4,2,143,medium,M,20,1,Rani Enterprises
316,156337,B,Ship,4,2,138,low,F,30,1,Rani Enterprises
317,155926,C,Ship,4,2,238,high,M,17,1,Rani Enterprises
318,155751,F,Ship,4,5,273,medium,F,31,1,Rani Enterprises
319,156075,D,Ship,3,1,200,medium,M,27,1,Rani Enterprises
320,156351,F,Ship,4,5,213,low,M,39,1,Rani Enterprises
321,156012,A,Ship,3,4,224,medium,F,15,1,Rani Enterprises
322,156295,B,Ship,4,5,141,medium,M,12,1,Rani Enterprises
323,155690,C,Ship,3,3,150,low,M,46,1,Rani Enterprises
324,155720,F,Ship,3,1,192,low,M,33,1,Rani Enterprises
325,156338,D,Ship,5,1,279,medium,F,24,1,Rani Enterprises
326,155604,F,Ship,3,4,246,medium,M,30,1,Rani Enterprises
327,155774,A,Ship,3,4,173,medium,M,52,1,Rani Enterprises
328,156303,B,Ship,4,4,233,medium,F,59,1,Rani Enterprises
329,155717,C,Ship,5,1,274,medium,M,24,1,Rani Enterprises
330,155716,F,Ship,4,5,243,medium,F,41,1,Rani Enterprises
331,156098,D,Ship,3,4,197,medium,F,56,1,Rani Enterprises
332,155692,F,Ship,4,3,140,high,F,46,1,Rani Enterprises
333,155918,A,Ship,3,5,215,medium,F,22,1,Rani Enterprises
334,156029,B,Ship,3,4,211,medium,M,8,1,Rani Enterprises
335,156034,C,Ship,4,2,220,low,M,33,1,Rani Enterprises
336,156291,F,Ship,3,1,194,low,M,64,1,Rani Enterprises
337,155394,D,Ship,5,1,262,medium,F,58,1,Rani Enterprises
338,156028,F,Ship,4,4,201,low,F,1,1,Rani Enterprises
339,155641,A,Ship,3,5,261,medium,M,15,1,Rani Enterprises
340,155704,B,Ship,4,4,191,low,F,60,1,Rani Enterprises
341,156110,C,Ship,2,5,255,medium,F,53,1,Rani Enterprises
342,155592,F,Ship,3,2,169,high,M,30,1,Rani Enterprises
343,155427,D,Ship,4,5,162,medium,M,64,1,Rani Enterprises
344,155694,F,Ship,2,5,248,low,F,62,1,Rani Enterprises
345,155948,A,Ship,5,3,197,low,F,2,1,Rani Enterprises
346,155533,B,Ship,5,1,264,low,M,6,1,Rani Enterprises
347,155837,C,Ship,5,5,260,medium,F,55,1,Rani Enterprises
348,155783,F,Ship,5,3,186,medium,F,58,1,Rani Enterprises
349,155815,D,Ship,4,5,233,low,F,44,1,Rani Enterprises
350,155453,F,Ship,5,1,161,low,M,47,1,Rani Enterprises
351,155537,A,Ship,4,5,188,low,F,13,1,Rani Enterprises
352,155683,B,Ship,5,5,171,medium,F,22,1,Rani Enterprises
353,156181,C,Ship,2,2,267,medium,M,15,1,Rani Enterprises
354,155758,F,Ship,4,3,255,high,M,47,1,Rani Enterprises
355,156338,D,Ship,3,2,132,low,F,56,1,Rani Enterprises
356,155397,F,Ship,5,1,266,low,F,31,1,Rani Enterprises
357,156135,A,Ship,3,4,198,low,M,25,1,Rani Enterprises
358,155714,B,Ship,2,3,247,medium,F,62,1,Rani Enterprises
359,156009,C,Ship,3,1,140,medium,F,65,1,Rani Enterprises
360,155854,F,Ship,4,3,131,low,M,6,1,Rani Enterprises
361,155992,D,Ship,5,2,246,medium,M,49,1,Rani Enterprises
362,156100,F,Ship,3,2,159,medium,F,4,1,Rani Enterprises
363,155505,A,Ship,3,5,203,medium,M,61,1,Rani Enterprises
364,156135,B,Ship,4,3,187,high,F,29,1,Rani Enterprises
365,155663,C,Ship,6,2,146,low,F,62,1,Rani Enterprises
366,156034,F,Ship,3,2,234,medium,M,39,1,Rani Enterprises
367,155840,D,Ship,3,4,122,high,F,15,1,Rani Enterprises
368,156198,F,Ship,3,3,135,low,M,8,1,Rani Enterprises
369,155964,A,Ship,3,5,103,low,M,3,1,Rani Enterprises
370,155519,B,Ship,3,5,257,medium,F,19,1,Rani Enterprises
371,155931,C,Ship,4,3,169,low,M,2,1,Rani Enterprises
372,155762,F,Ship,4,5,159,medium,M,18,1,Rani Enterprises
373,155619,D,Ship,4,5,188,low,M,38,1,Rani Enterprises
374,155569,F,Ship,5,1,136,medium,M,19,1,Rani Enterprises
375,155588,A,Ship,5,1,227,low,F,19,1,Rani Enterprises
376,156085,B,Ship,3,5,262,low,F,53,1,Rani Enterprises
377,155376,C,Ship,2,3,157,low,M,45,1,Rani Enterprises
378,155371,F,Ship,5,3,238,medium,F,21,1,Rani Enterprises
379,156032,D,Ship,3,5,152,low,M,43,1,Rani Enterprises
380,155630,F,Ship,3,2,201,medium,M,5,1,Rani Enterprises
381,155369,A,Ship,3,4,148,low,M,54,1,Rani Enterprises
382,155626,B,Ship,5,2,199,low,F,59,1,Rani Enterprises
383,155586,C,Ship,5,4,215,low,F,45,1,Rani Enterprises
384,156343,F,Ship,4,5,175,low,M,40,1,Rani Enterprises
385,156146,D,Road,4,3,236,high,M,23,1,Rani Enterprises
386,155870,F,Road,2,5,182,medium,F,57,1,Rani Enterprises
387,155429,A,Road,3,1,251,medium,M,42,1,Rani Enterprises
388,155976,B,Road,5,2,173,low,F,7,1,Rani Enterprises
389,155912,C,Road,4,3,225,low,F,62,1,Rani Enterprises
390,155422,F,Road,4,2,167,low,F,20,1,Sun Beauty Products
391,156103,D,Road,4,1,259,low,M,20,1,Sun Beauty Products
392,155506,F,Road,4,1,178,medium,F,63,1,Sun Beauty Products
393,156191,A,Road,4,4,178,medium,F,13,1,Sun Beauty Products
394,156044,B,Road,5,4,169,low,F,20,1,Sun Beauty Products
395,156246,C,Road,3,2,272,low,M,33,1,Sun Beauty Products
396,155376,F,Road,4,4,183,low,M,29,1,Sun Beauty Products
397,155922,D,Road,3,4,205,low,F,10,1,Sun Beauty Products
398,156306,F,Road,2,1,123,low,F,53,1,Sun Beauty Products
399,156138,A,Road,4,3,152,low,M,58,1,Sun Beauty Products
400,155860,B,Road,3,1,220,high,F,40,1,Sun Beauty Products
401,155472,C,Road,4,3,134,low,M,51,1,Sun Beauty Products
402,155813,F,Road,3,2,217,high,M,19,1,Sun Beauty Products
